from_id	to_id	variable_name	coefficient_name
5	1	fmps	fmps_5_1
5	1	gai	gai_5_1
5	1	gmps	gmps_5_1
5	1	h450	h450_5_1
5	1	h750	h750_5_1
5	1	hai	hai_5_1
5	1	hd1	hd1_5_1
5	1	hmps	hmps_5_1
5	1	mai	mai_5_1
5	1	mmps	mmps_5_1
5	1	pag	pag_5_1
5	1	pcc	pcc_5_1
5	1	pcd	pcd_5_1
5	1	pcf	pcf_5_1
5	1	pcri	pcri_5_1
5	1	pes	pes_5_1
5	1	pfld	pfld_5_1
5	1	pgr	pgr_5_1
5	1	phu	phu_5_1
5	1	plu	plu_5_1
5	1	pmf	pmf_5_1
5	1	pmu	pmu_5_1
5	1	psg	psg_5_1
5	1	pslp	pslp_5_1
5	1	pstr	pstr_5_1
5	1	pub	pub_5_1
5	1	pwa	pwa_5_1
5	1	pwet	pwet_5_1
5	1	shei	shei_5_1
5	1	sslp	sslp_5_1
5	1	tbl	tbl_5_1
5	1	tiv	tiv_5_1
5	1	ugl	ugl_5_1
5	2	aai	aai_5_2
5	2	amps	amps_5_2
5	2	blmz	blmz_5_2
5	2	c450	c450_5_2
5	2	c750	c750_5_2
5	2	cd1	cd1_5_2
5	2	constant	constant_5_2
5	2	crit	crit_5_2
5	2	dag	dag_5_2
5	2	dc	dc_5_2
5	2	dcbd	dcbd_5_2
5	2	dcri	dcri_5_2
5	2	ddt1	ddt1_5_2
5	2	de	de_5_2
5	2	dfre	dfre_5_2
5	2	di	di_5_2
5	2	dloc	dloc_5_2
5	2	dmu	dmu_5_2
5	2	dnlr	dnlr_5_2
5	2	dos	dos_5_2
5	2	dprd	dprd_5_2
5	2	dpub	dpub_5_2
5	2	dres	dres_5_2
5	2	dt1	dt1_5_2
5	2	dtim	dtim_5_2
5	2	dwat	dwat_5_2
5	2	dwet	dwet_5_2
5	2	fai	fai_5_2
5	2	fmps	fmps_5_2
5	2	gai	gai_5_2
5	2	gmps	gmps_5_2
5	2	h450	h450_5_2
5	2	h750	h750_5_2
5	2	hai	hai_5_2
5	2	hd1	hd1_5_2
5	2	hmps	hmps_5_2
5	2	mai	mai_5_2
5	2	mmps	mmps_5_2
5	2	pag	pag_5_2
5	2	pcc	pcc_5_2
5	2	pcd	pcd_5_2
5	2	pcf	pcf_5_2
5	2	pcri	pcri_5_2
5	2	pes	pes_5_2
5	2	pfld	pfld_5_2
5	2	pgr	pgr_5_2
5	2	phu	phu_5_2
5	2	plu	plu_5_2
5	2	pmf	pmf_5_2
5	2	pmu	pmu_5_2
5	2	psg	psg_5_2
5	2	pslp	pslp_5_2
5	2	pstr	pstr_5_2
5	2	pub	pub_5_2
5	2	pwa	pwa_5_2
5	2	pwet	pwet_5_2
5	2	shei	shei_5_2
5	2	sslp	sslp_5_2
5	2	tbl	tbl_5_2
5	2	tiv	tiv_5_2
5	2	ugl	ugl_5_2
5	3	aai	aai_5_3
5	3	amps	amps_5_3
5	3	blmz	blmz_5_3
5	3	c450	c450_5_3
5	3	c750	c750_5_3
5	3	cd1	cd1_5_3
5	3	constant	constant_5_3
5	3	crit	crit_5_3
5	3	dag	dag_5_3
5	3	dc	dc_5_3
5	3	dcbd	dcbd_5_3
5	3	dcri	dcri_5_3
5	3	ddt1	ddt1_5_3
5	3	de	de_5_3
5	3	dfre	dfre_5_3
5	3	di	di_5_3
5	3	dloc	dloc_5_3
5	3	dmu	dmu_5_3
5	3	dnlr	dnlr_5_3
5	3	dos	dos_5_3
5	3	dprd	dprd_5_3
5	3	dpub	dpub_5_3
5	3	dres	dres_5_3
5	3	dt1	dt1_5_3
5	3	dtim	dtim_5_3
5	3	dwat	dwat_5_3
5	3	dwet	dwet_5_3
5	3	fai	fai_5_3
5	3	fmps	fmps_5_3
5	3	gai	gai_5_3
5	3	gmps	gmps_5_3
5	3	h450	h450_5_3
5	3	h750	h750_5_3
5	3	hai	hai_5_3
5	3	hd1	hd1_5_3
5	3	hmps	hmps_5_3
5	3	mai	mai_5_3
5	3	mmps	mmps_5_3
5	3	pag	pag_5_3
5	3	pcc	pcc_5_3
5	3	pcd	pcd_5_3
5	3	pcf	pcf_5_3
5	3	pcri	pcri_5_3
5	3	pes	pes_5_3
5	3	pfld	pfld_5_3
5	3	pgr	pgr_5_3
5	3	phu	phu_5_3
5	3	plu	plu_5_3
5	3	pmf	pmf_5_3
5	3	pmu	pmu_5_3
5	3	psg	psg_5_3
5	3	pslp	pslp_5_3
5	3	pstr	pstr_5_3
5	3	pub	pub_5_3
5	3	pwa	pwa_5_3
5	3	pwet	pwet_5_3
5	3	shei	shei_5_3
5	3	sslp	sslp_5_3
5	3	tbl	tbl_5_3
5	3	tiv	tiv_5_3
5	3	ugl	ugl_5_3
5	6	aai	aai_5_6
5	6	amps	amps_5_6
5	6	blmz	blmz_5_6
5	6	c450	c450_5_6
5	6	c750	c750_5_6
5	6	cd1	cd1_5_6
5	6	constant	constant_5_6
5	6	crit	crit_5_6
5	6	dag	dag_5_6
5	6	dc	dc_5_6
5	6	dcbd	dcbd_5_6
5	6	dcri	dcri_5_6
5	6	ddt1	ddt1_5_6
5	6	de	de_5_6
5	6	dfre	dfre_5_6
5	6	di	di_5_6
5	6	dloc	dloc_5_6
5	6	dmu	dmu_5_6
5	6	dnlr	dnlr_5_6
5	6	dos	dos_5_6
5	6	dprd	dprd_5_6
5	6	dpub	dpub_5_6
5	6	dres	dres_5_6
5	6	dt1	dt1_5_6
5	6	dtim	dtim_5_6
5	6	dwat	dwat_5_6
5	6	dwet	dwet_5_6
5	6	fai	fai_5_6
5	6	fmps	fmps_5_6
5	6	gai	gai_5_6
5	6	gmps	gmps_5_6
5	6	h450	h450_5_6
5	6	h750	h750_5_6
5	6	hai	hai_5_6
5	6	hd1	hd1_5_6
5	6	hmps	hmps_5_6
5	6	mai	mai_5_6
5	6	mmps	mmps_5_6
5	6	pag	pag_5_6
5	6	pcc	pcc_5_6
5	6	pcd	pcd_5_6
5	6	pcf	pcf_5_6
5	6	pcri	pcri_5_6
5	6	pes	pes_5_6
5	6	pfld	pfld_5_6
5	6	pgr	pgr_5_6
5	6	phu	phu_5_6
5	6	plu	plu_5_6
5	6	pmf	pmf_5_6
5	6	pmu	pmu_5_6
5	6	psg	psg_5_6
5	6	pslp	pslp_5_6
5	6	pstr	pstr_5_6
5	6	pub	pub_5_6
5	6	pwa	pwa_5_6
5	6	pwet	pwet_5_6
5	6	shei	shei_5_6
5	6	sslp	sslp_5_6
5	6	tbl	tbl_5_6
5	6	tiv	tiv_5_6
5	6	ugl	ugl_5_6
5	7	aai	aai_5_7
5	7	amps	amps_5_7
5	7	blmz	blmz_5_7
5	7	c450	c450_5_7
5	7	c750	c750_5_7
5	7	cd1	cd1_5_7
5	7	constant	constant_5_7
5	7	crit	crit_5_7
5	7	dag	dag_5_7
5	7	dc	dc_5_7
5	7	dcbd	dcbd_5_7
5	7	dcri	dcri_5_7
5	7	ddt1	ddt1_5_7
5	7	de	de_5_7
5	7	dfre	dfre_5_7
5	7	di	di_5_7
5	7	dloc	dloc_5_7
5	7	dmu	dmu_5_7
5	7	dnlr	dnlr_5_7
5	7	dos	dos_5_7
5	7	dprd	dprd_5_7
5	7	dpub	dpub_5_7
5	7	dres	dres_5_7
5	7	dt1	dt1_5_7
5	7	dtim	dtim_5_7
5	7	dwat	dwat_5_7
5	7	dwet	dwet_5_7
5	7	fai	fai_5_7
5	7	fmps	fmps_5_7
5	7	gai	gai_5_7
5	7	gmps	gmps_5_7
5	7	h450	h450_5_7
5	7	h750	h750_5_7
5	7	hai	hai_5_7
5	7	hd1	hd1_5_7
5	7	hmps	hmps_5_7
5	7	mai	mai_5_7
5	7	mmps	mmps_5_7
5	7	pag	pag_5_7
5	7	pcc	pcc_5_7
5	7	pcd	pcd_5_7
5	7	pcf	pcf_5_7
5	7	pcri	pcri_5_7
5	7	pes	pes_5_7
5	7	pfld	pfld_5_7
5	7	pgr	pgr_5_7
5	7	phu	phu_5_7
5	7	plu	plu_5_7
5	7	pmf	pmf_5_7
5	7	pmu	pmu_5_7
5	7	psg	psg_5_7
5	7	pslp	pslp_5_7
5	7	pstr	pstr_5_7
5	7	pub	pub_5_7
5	7	pwa	pwa_5_7
5	7	pwet	pwet_5_7
5	7	shei	shei_5_7
5	7	sslp	sslp_5_7
5	7	tbl	tbl_5_7
5	7	tiv	tiv_5_7
5	7	ugl	ugl_5_7
6	1	aai	aai_6_1
6	1	amps	amps_6_1
6	1	blmz	blmz_6_1
6	1	c450	c450_6_1
6	1	c750	c750_6_1
6	1	cd1	cd1_6_1
6	1	constant	constant_6_1
6	1	crit	crit_6_1
6	1	dag	dag_6_1
6	1	dc	dc_6_1
6	1	dcbd	dcbd_6_1
6	1	dcri	dcri_6_1
6	1	ddt1	ddt1_6_1
6	1	de	de_6_1
6	1	dfre	dfre_6_1
6	1	di	di_6_1
6	1	dloc	dloc_6_1
6	1	dmu	dmu_6_1
6	1	dnlr	dnlr_6_1
6	1	dos	dos_6_1
6	1	dprd	dprd_6_1
6	1	dpub	dpub_6_1
6	1	dres	dres_6_1
6	1	dt1	dt1_6_1
6	1	dtim	dtim_6_1
6	1	dwat	dwat_6_1
6	1	dwet	dwet_6_1
6	1	fai	fai_6_1
6	1	fmps	fmps_6_1
6	1	gai	gai_6_1
6	1	gmps	gmps_6_1
6	1	h450	h450_6_1
6	1	h750	h750_6_1
6	1	hai	hai_6_1
6	1	hd1	hd1_6_1
6	1	hmps	hmps_6_1
6	1	mai	mai_6_1
6	1	mmps	mmps_6_1
6	1	pag	pag_6_1
6	1	pcc	pcc_6_1
6	1	pcd	pcd_6_1
6	1	pcf	pcf_6_1
6	1	pcri	pcri_6_1
6	1	pes	pes_6_1
6	1	pfld	pfld_6_1
6	1	pgr	pgr_6_1
6	1	phu	phu_6_1
6	1	plu	plu_6_1
6	1	pmf	pmf_6_1
6	1	pmu	pmu_6_1
6	1	psg	psg_6_1
6	1	pslp	pslp_6_1
6	1	pstr	pstr_6_1
6	1	pub	pub_6_1
6	1	pwa	pwa_6_1
6	1	pwet	pwet_6_1
6	1	shei	shei_6_1
6	1	sslp	sslp_6_1
6	1	tbl	tbl_6_1
6	1	tiv	tiv_6_1
6	1	ugl	ugl_6_1
6	2	aai	aai_6_2
6	2	amps	amps_6_2
6	2	blmz	blmz_6_2
6	2	c450	c450_6_2
6	2	c750	c750_6_2
6	2	cd1	cd1_6_2
6	2	constant	constant_6_2
6	2	crit	crit_6_2
6	2	dag	dag_6_2
6	2	dc	dc_6_2
6	2	dcbd	dcbd_6_2
6	2	dcri	dcri_6_2
6	2	ddt1	ddt1_6_2
6	2	de	de_6_2
6	2	dfre	dfre_6_2
6	2	di	di_6_2
6	2	dloc	dloc_6_2
6	2	dmu	dmu_6_2
6	2	dnlr	dnlr_6_2
6	2	dos	dos_6_2
6	2	dprd	dprd_6_2
6	2	dpub	dpub_6_2
6	2	dres	dres_6_2
6	2	dt1	dt1_6_2
6	2	dtim	dtim_6_2
6	2	dwat	dwat_6_2
6	2	dwet	dwet_6_2
6	2	fai	fai_6_2
6	2	fmps	fmps_6_2
6	2	gai	gai_6_2
6	2	gmps	gmps_6_2
6	2	h450	h450_6_2
6	2	h750	h750_6_2
6	2	hai	hai_6_2
6	2	hd1	hd1_6_2
6	2	hmps	hmps_6_2
6	2	mai	mai_6_2
6	2	mmps	mmps_6_2
6	2	pag	pag_6_2
6	2	pcc	pcc_6_2
6	2	pcd	pcd_6_2
6	2	pcf	pcf_6_2
6	2	pcri	pcri_6_2
6	2	pes	pes_6_2
6	2	pfld	pfld_6_2
6	2	pgr	pgr_6_2
6	2	phu	phu_6_2
6	2	plu	plu_6_2
6	2	pmf	pmf_6_2
6	2	pmu	pmu_6_2
6	2	psg	psg_6_2
6	2	pslp	pslp_6_2
6	2	pstr	pstr_6_2
6	2	pub	pub_6_2
6	2	pwa	pwa_6_2
6	2	pwet	pwet_6_2
6	2	shei	shei_6_2
6	2	sslp	sslp_6_2
6	2	tbl	tbl_6_2
6	2	tiv	tiv_6_2
6	2	ugl	ugl_6_2
6	3	aai	aai_6_3
6	3	amps	amps_6_3
6	3	blmz	blmz_6_3
6	3	c450	c450_6_3
6	3	c750	c750_6_3
6	3	cd1	cd1_6_3
6	3	constant	constant_6_3
6	3	crit	crit_6_3
6	3	dag	dag_6_3
6	3	dc	dc_6_3
6	3	dcbd	dcbd_6_3
6	3	dcri	dcri_6_3
6	3	ddt1	ddt1_6_3
6	3	de	de_6_3
6	3	dfre	dfre_6_3
6	3	di	di_6_3
6	3	dloc	dloc_6_3
6	3	dmu	dmu_6_3
6	3	dnlr	dnlr_6_3
6	3	dos	dos_6_3
6	3	dprd	dprd_6_3
6	3	dpub	dpub_6_3
6	3	dres	dres_6_3
6	3	dt1	dt1_6_3
6	3	dtim	dtim_6_3
6	3	dwat	dwat_6_3
6	3	dwet	dwet_6_3
6	3	fai	fai_6_3
6	3	fmps	fmps_6_3
6	3	gai	gai_6_3
6	3	gmps	gmps_6_3
6	3	h450	h450_6_3
6	3	h750	h750_6_3
6	3	hai	hai_6_3
6	3	hd1	hd1_6_3
6	3	hmps	hmps_6_3
6	3	mai	mai_6_3
6	3	mmps	mmps_6_3
6	3	pag	pag_6_3
6	3	pcc	pcc_6_3
6	3	pcd	pcd_6_3
6	3	pcf	pcf_6_3
6	3	pcri	pcri_6_3
6	3	pes	pes_6_3
6	3	pfld	pfld_6_3
6	3	pgr	pgr_6_3
6	3	phu	phu_6_3
6	3	plu	plu_6_3
6	3	pmf	pmf_6_3
6	3	pmu	pmu_6_3
6	3	psg	psg_6_3
6	3	pslp	pslp_6_3
6	3	pstr	pstr_6_3
6	3	pub	pub_6_3
6	3	pwa	pwa_6_3
6	3	pwet	pwet_6_3
6	3	shei	shei_6_3
6	3	sslp	sslp_6_3
6	3	tbl	tbl_6_3
6	3	tiv	tiv_6_3
6	3	ugl	ugl_6_3
6	4	aai	aai_6_4
6	4	amps	amps_6_4
6	4	blmz	blmz_6_4
6	4	c450	c450_6_4
6	4	c750	c750_6_4
6	4	cd1	cd1_6_4
6	4	constant	constant_6_4
6	4	crit	crit_6_4
6	4	dag	dag_6_4
6	4	dc	dc_6_4
6	4	dcbd	dcbd_6_4
6	4	dcri	dcri_6_4
6	4	ddt1	ddt1_6_4
6	4	de	de_6_4
6	4	dfre	dfre_6_4
6	4	di	di_6_4
6	4	dloc	dloc_6_4
6	4	dmu	dmu_6_4
6	4	dnlr	dnlr_6_4
6	4	dos	dos_6_4
6	4	dprd	dprd_6_4
6	4	dpub	dpub_6_4
6	4	dres	dres_6_4
6	4	dt1	dt1_6_4
6	4	dtim	dtim_6_4
6	4	dwat	dwat_6_4
6	4	dwet	dwet_6_4
6	4	fai	fai_6_4
6	4	fmps	fmps_6_4
6	4	gai	gai_6_4
6	4	gmps	gmps_6_4
6	4	h450	h450_6_4
6	4	h750	h750_6_4
6	4	hai	hai_6_4
6	4	hd1	hd1_6_4
6	4	hmps	hmps_6_4
6	4	mai	mai_6_4
6	4	mmps	mmps_6_4
6	4	pag	pag_6_4
6	4	pcc	pcc_6_4
6	4	pcd	pcd_6_4
6	4	pcf	pcf_6_4
6	4	pcri	pcri_6_4
6	4	pes	pes_6_4
6	4	pfld	pfld_6_4
6	4	pgr	pgr_6_4
6	4	phu	phu_6_4
6	4	plu	plu_6_4
6	4	pmf	pmf_6_4
6	4	pmu	pmu_6_4
6	4	psg	psg_6_4
6	4	pslp	pslp_6_4
6	4	pstr	pstr_6_4
6	4	pub	pub_6_4
6	4	pwa	pwa_6_4
6	4	pwet	pwet_6_4
6	4	shei	shei_6_4
6	4	sslp	sslp_6_4
6	4	tbl	tbl_6_4
6	4	tiv	tiv_6_4
6	4	ugl	ugl_6_4
6	5	aai	aai_6_5
6	5	amps	amps_6_5
6	5	blmz	blmz_6_5
6	5	c450	c450_6_5
6	5	c750	c750_6_5
6	5	cd1	cd1_6_5
6	5	constant	constant_6_5
6	5	crit	crit_6_5
6	5	dag	dag_6_5
6	5	dc	dc_6_5
6	5	dcbd	dcbd_6_5
6	5	dcri	dcri_6_5
6	5	ddt1	ddt1_6_5
6	5	de	de_6_5
6	5	dfre	dfre_6_5
6	5	di	di_6_5
6	5	dloc	dloc_6_5
6	5	dmu	dmu_6_5
6	5	dnlr	dnlr_6_5
6	5	dos	dos_6_5
6	5	dprd	dprd_6_5
6	5	dpub	dpub_6_5
6	5	dres	dres_6_5
6	5	dt1	dt1_6_5
6	5	dtim	dtim_6_5
6	5	dwat	dwat_6_5
6	5	dwet	dwet_6_5
6	5	fai	fai_6_5
6	5	fmps	fmps_6_5
6	5	gai	gai_6_5
6	5	gmps	gmps_6_5
6	5	h450	h450_6_5
6	5	h750	h750_6_5
6	5	hai	hai_6_5
6	5	hd1	hd1_6_5
6	5	hmps	hmps_6_5
6	5	mai	mai_6_5
6	5	mmps	mmps_6_5
6	5	pag	pag_6_5
6	5	pcc	pcc_6_5
6	5	pcd	pcd_6_5
6	5	pcf	pcf_6_5
6	5	pcri	pcri_6_5
6	5	pes	pes_6_5
6	5	pfld	pfld_6_5
6	5	pgr	pgr_6_5
6	5	phu	phu_6_5
6	5	plu	plu_6_5
6	5	pmf	pmf_6_5
6	5	pmu	pmu_6_5
6	5	psg	psg_6_5
6	5	pslp	pslp_6_5
6	5	pstr	pstr_6_5
6	5	pub	pub_6_5
6	5	pwa	pwa_6_5
6	5	pwet	pwet_6_5
6	5	shei	shei_6_5
6	5	sslp	sslp_6_5
6	5	tbl	tbl_6_5
6	5	tiv	tiv_6_5
6	5	ugl	ugl_6_5
6	8	aai	aai_6_8
