year:i4	action:S20	attribute:S40	amount:i4	building_id:i4	zone_id:i4	building_type_id:i4
2029	add_value	residential_units	0	5379	-1	-1
2021	add_value	residential_units	0	5380	-1	-1
2029	add_value	residential_units	0	5389	-1	-1
2029	add_value	residential_units	0	5390	-1	-1
2027	add_value	residential_units	0	5391	-1	-1
2030	add_value	residential_units	0	5392	-1	-1
2032	add_value	residential_units	0	5407	-1	-1
2027	add_value	residential_units	0	5408	-1	-1
2029	add_value	residential_units	0	5409	-1	-1
2024	add_value	residential_units	0	5410	-1	-1
2029	add_value	residential_units	0	5479	-1	-1
2033	add_value	residential_units	0	5480	-1	-1
2021	add_value	residential_units	0	5481	-1	-1
2026	add_value	residential_units	0	5482	-1	-1
2022	add_value	residential_units	0	5485	-1	-1
2022	add_value	residential_units	0	5486	-1	-1
2024	add_value	residential_units	0	5487	-1	-1
2033	add_value	residential_units	0	5488	-1	-1
2025	add_value	residential_units	0	5521	-1	-1
2020	add_value	residential_units	0	5522	-1	-1
2023	add_value	residential_units	0	5523	-1	-1
2031	add_value	residential_units	0	5524	-1	-1
2029	add_value	residential_units	0	5551	-1	-1
2023	add_value	residential_units	0	5552	-1	-1
2032	add_value	residential_units	0	5553	-1	-1
2023	add_value	residential_units	0	5554	-1	-1
2026	add_value	residential_units	0	5563	-1	-1
2027	add_value	residential_units	0	5564	-1	-1
2028	add_value	residential_units	0	5565	-1	-1
2026	add_value	residential_units	0	5566	-1	-1
2028	add_value	residential_units	0	5647	-1	-1
2021	add_value	residential_units	0	5648	-1	-1
2022	add_value	residential_units	0	5649	-1	-1
2031	add_value	residential_units	0	5650	-1	-1
2023	add_value	residential_units	0	5653	-1	-1
2024	add_value	residential_units	0	5655	-1	-1
2025	add_value	residential_units	0	5707	-1	-1
2027	add_value	residential_units	0	5755	-1	-1
2024	add_value	residential_units	0	5756	-1	-1
2021	add_value	residential_units	0	5757	-1	-1
2029	add_value	residential_units	0	5758	-1	-1
2022	add_value	residential_units	0	5833	-1	-1
2032	add_value	residential_units	0	5834	-1	-1
