coefficient_name:S21,estimate:f8,standard_error:f8,sub_model_id:i2,t_statistic:f8
roissy,-0.184622094035,0.103805564344,2,-1.77853751183
saclay,-0.229055821896,0.0542253702879,2,-4.22414493561
val_de_france_gonesse,0.0926569625735,0.104040570557,2,0.890584886074
CBAnwCty,-0.416231900454,0.0414464250207,3,-10.0426492691
CDGhighw,-0.0117482049391,0.0038602873683,3,-3.04334974289
CLEmpTot_lag1,0.428380608559,0.0236293841153,3,18.1291484833
CLOActPotSt,0.309818863869,0.0269382875413,3,11.5010604858
CNGsubwSP,0.0108619332314,0.0038837864995,3,2.79673790932
CNGtrainSt,0.0268891267478,0.00604290515184,3,4.44970178604
CQEsec2dst_lag1,-11663.2392578,6119.89501953,3,-1.90579068661
CQEsec3dst_lag1,394714.28125,20418.4550781,3,19.3312511444
CQEsec4dst_lag1,1404.62597656,6810.71777344,3,0.206237584352
CQEsec7dst_lag1,-114588.507812,20334.90625,3,-5.6350646019
CRItaxPro,0.0265969932079,0.00207973481156,3,12.788646698
CRRdensPop,0.019705908373,0.00236817798577,3,8.32112598419
CTPNiv1,1.68911516666,0.204829871655,3,8.24642944336
CTPNiv2,1.19175434113,0.124094411731,3,9.60361003876
biotech,-0.203565478325,0.0456900596619,3,-4.45535612106
clichy_montfermeil,0.213492810726,0.0646989569068,3,3.29978752136
confluence,-0.28774702549,0.0661305189133,3,-4.35119867325
ctdtcd,-0.00186045200098,0.000465583318146,3,-3.99595928192
ctdvpd,-0.0156391691417,0.0018807395827,3,-8.31543540955
descates,0.217248082161,0.0465886294842,3,4.66311359406
la_defense,-0.280174762011,0.0721584483981,3,-3.882771492
le_bourget,-0.193837568164,0.0820271670818,3,-2.36308979988
paris_pole,0.496240139008,0.0942083895206,3,5.26747274399
pleyel,-0.116940118372,0.0640639588237,3,-1.82536518574
roissy,-0.186328679323,0.0908342078328,3,-2.05130505562
saclay,-0.31783080101,0.0469204224646,3,-6.77382659912
val_de_france_gonesse,0.18234564364,0.0829264074564,3,2.19888520241
CBADefense,-0.309532493353,0.0767210200429,4,-4.03452014923
CBAnwCty,-0.131916299462,0.0335724800825,4,-3.9292986393
CDGhighw,-0.00394890690222,0.00306298350915,4,-1.28923547268
CLEmpTot_lag1,0.548325657845,0.0195894744247,4,27.9908313751
