5003621,1,1198850.72,271714.41
5003621,3,1200105.33,272644.68
5003624,1,1194976.73,209178.62
5003645,1,1270106.47,226319.57
5003678,2,1194976.73,209178.62
5003710,1,1200351.65,261021.60
5003710,2,1200351.65,261021.60
5003712,1,1221749.75,297589.93
5003712,2,1231761.31,294870.22
5003768,2,1288554.67,153254.60
5003770,1,,
5003770,2,1179366.51,244278.55
5003786,1,1194976.73,209178.62
5003845,2,,
5003851,1,1175925.36,265453.05
5003857,1,1271163.58,224537.51
5003882,2,1187604.87,196263.24
5003882,1,1260459.25,92458.74
5003882,3,,
5003886,2,1304398.12,227268.84
5003887,2,1198170.20,218015.38
5003887,3,1197835.82,241206.34
5003887,1,1194976.73,209178.62
5003941,3,,
5003941,2,1188906.20,211129.06
5003941,1,1194976.73,209178.62
5003952,1,1197510.54,224718.87
5003961,1,1168609.23,237716.66
5003978,2,1195941.12,275278.25
5003978,4,1230706.60,296754.01
5004005,1,1202899.43,176044.92
5004005,2,1202899.43,176044.92
5004058,2,1268361.61,259534.83
5004058,1,1196617.87,193649.37
5004103,1,1201253.54,235737.84
5004103,3,1213732.37,298078.90
5004103,4,1130599.31,7387.99
5004103,2,1194976.73,209178.62
5004124,2,1195815.65,273609.46
5004124,3,1182737.37,245216.01
5004124,1,1183594.87,248337.87
5004138,1,1270272.28,225609.91
5004151,1,1180995.50,218516.63
5004165,1,1194976.73,209178.62
5004165,3,1194976.73,209178.62
5004165,4,1194976.73,209178.62
5004167,1,1238609.43,94846.97
5004167,2,,
5004168,1,1195914.39,276511.84
5004168,2,1226640.37,294537.64
5004183,2,1230737.45,296689.41
5004185,1,1221420.68,299994.65
5004185,2,1284874.72,325674.35
5004190,2,1272902.75,223694.55
5004190,1,1289726.84,153557.08
5004221,2,1175925.36,265453.05
5004250,1,,
5004250,2,,
5004252,1,1270042.13,224102.43
5004258,1,,
5004277,1,,
5004277,2,1223572.24,236678.54
5004289,1,1225266.75,235137.00
5004289,2,1195914.39,276511.84
5004289,5,1231379.94,295682.54
5004289,6,1223572.24,236678.54
5004289,3,,
5004307,2,1198545.60,273452.75
5004307,3,1182636.73,243967.07
5004307,1,1200351.65,261021.60
5004319,1,1272902.75,223694.55
5004325,1,1226698.00,261429.18
5004334,1,,
5004344,2,1198039.62,227493.34
5004364,1,1194506.28,273327.68
5004364,2,1200351.65,261021.60
5004441,1,1185142.87,244979.15
5004441,2,1194976.73,209178.62
5004482,2,1204646.00,128490.88
5004482,1,1194976.73,209178.62
5004492,2,1301233.92,178719.99
5004492,1,1194976.73,209178.62
5004538,2,1304610.00,226920.18
5004538,1,1242085.06,96473.71
5004556,2,1269709.74,185750.07
5004574,1,1198106.31,210684.83
5004574,2,1175925.36,265453.05
5004613,1,1191427.23,209155.41
5004641,2,1269865.75,214152.34
5004676,2,1270001.96,223931.13
5004711,1,1177231.93,178018.12
5004751,1,1188921.54,251625.69
5004751,2,1181963.75,244351.93
5004752,1,1201491.07,225701.57
5004770,1,1197160.30,196655.69
5004770,2,1196178.53,211874.74
5004804,1,1218886.15,252456.77
5004804,2,1194660.75,201142.92
5004865,2,1291439.87,109035.67
5004876,1,1198649.25,187162.34
5004876,2,1209913.00,163020.46
5004879,1,1193985.12,273524.23
5004879,2,1189243.94,212297.22
5004987,3,1197854.13,276313.65
5005061,1,1178565.44,258675.84
5005079,1,1175925.36,265453.05
5005125,4,1198438.37,200314.46
5005125,1,1297524.01,158485.91
5005179,2,1270052.50,210753.37
5005190,1,1189048.37,234067.46
5005190,3,1197846.25,225589.32
5005190,2,1194976.73,209178.62
5005191,1,1194976.73,209178.62
5005206,2,1197884.87,224442.93
5005230,2,1270421.84,115297.63
5005230,1,1203484.90,239465.95
5005252,3,1196075.34,269354.38
5005252,2,,
5005260,2,1145072.56,166610.72
5005260,1,1109860.00,168235.21
5005294,1,1184117.12,210939.76
5005294,2,1205448.62,199641.54
5005297,1,1203868.51,263455.08
5005297,2,1194167.90,273754.47
5005298,2,1194976.73,209178.62
5005306,1,1278263.53,165157.46
5005306,2,1269967.38,224540.81
5005311,1,,
5005311,2,1192445.33,278311.09
5005329,2,1206618.75,117614.32
5005329,1,1194976.73,209178.62
5005452,1,1278407.87,216957.25
5005470,1,1254211.47,83531.57
5005518,1,1133070.76,383009.34
5005523,1,1219672.12,257698.09
5005523,2,1225335.02,233941.20
5005523,3,1225909.45,232506.67
5005525,1,,
5005525,4,,
5005525,2,1206451.62,114223.63
5005598,1,1191600.72,208866.06
5005625,1,1190958.94,227381.45
5005633,2,1269986.47,225460.75
5005697,1,1192813.95,208432.40
5005697,2,1177816.09,261936.83
5005728,1,,
5005770,1,1203810.62,347227.03
5005784,2,1271163.58,224537.51
5005784,1,,
5005817,1,1277382.70,217042.84
5005817,2,1277382.70,217042.84
5005831,3,1195910.39,275044.20
5005831,2,1145072.56,166610.72
5005831,1,1194976.73,209178.62
5005836,1,1297195.76,175963.52
5005843,1,1270199.41,228483.82
5005843,2,1270199.41,228483.82
5005853,1,1281283.38,243539.53
5005856,1,1314012.50,231815.18
